院校名称,院校所在地,院校隶属,院校类型,学历层次,经度,纬度
上海电子信息职业技术学院,上海,上海市教育委员会,工科,高职(专科),121.696395,30.924982
上海震旦职业学院,上海,上海市教育委员会,财经,高职(专科),121.356197,31.419401
上海民远职业技术学院,上海,上海市教育委员会,工科,高职(专科),121.526413,31.228699
上海欧华职业技术学院,上海,上海市教育委员会,综合,高职(专科),121.696350,30.870963
上海思博职业技术学院,上海,上海市教育委员会,综合,高职(专科),121.780647,31.037624
上海立达学院,上海,上海市教育委员会,综合,高职(专科),121.317863,30.934500
上海工艺美术职业学院,上海,上海市教育委员会,艺术,高职(专科),121.251622,31.408151
上海济光职业技术学院,上海,上海市教育委员会,综合,高职(专科),121.434438,31.365286
上海建桥学院,上海,上海市教育委员会,综合,本科/高职(专科),121.892681,30.891163
上海工商外国语职业学院,上海,上海市教育委员会,语言,高职(专科),121.781603,31.047424
上海科学技术职业学院,上海,上海市教育委员会,综合,高职(专科),121.258280,31.387128
上海农林职业技术学院,上海,上海市教育委员会,农业,高职(专科),121.220342,31.009793
上海邦德职业技术学院,上海,上海市教育委员会,综合,高职(专科),121.401937,31.323086
上海兴伟学院,上海,上海市教育委员会,工科,本科/高职(专科),121.786694,31.041569
上海中侨职业技术学院,上海,上海市教育委员会,综合,高职(专科),121.304713,30.798016
上海建峰职业技术学院,上海,上海市教育委员会,综合,高职(专科),121.466397,31.405979
上海视觉艺术学院,上海,上海市教育委员会,艺术,本科,121.206026,31.046410
上海外国语大学贤达经济人文学院,上海,上海市教育委员会,财经,本科,121.832816,31.485250
上海电影艺术职业学院,上海,上海市教育委员会,艺术,高职(专科),121.585084,31.191728
上海师范大学天华学院,上海,上海市教育委员会,综合,本科,121.201818,31.408072
上海中华职业技术学院,上海,上海市教育委员会,工科,高职(专科), , 
上海工会管理职业学院,上海,上海市教育委员会,综合,高职(专科),121.413347,30.908251
上海体育职业学院,上海,上海市教育委员会,体育,高职(专科),121.431662,31.141778
上海民航职业技术学院,上海,中国民用航空局,工科,高职(专科),121.455701,31.171719
上海科技大学,上海,上海市教育委员会,综合,本科,121.594607,31.173440
上海纽约大学,上海,上海市教育委员会,综合,本科,121.534210,31.225908
复旦大学医学院,上海,教育部,医药,本科,121.505600,31.294676
上海交通大学医学院,上海,教育部,医药,本科,121.472194,31.212336
海军军医大学,上海,中央军委训练管理部,综合,本科,110.104691,19.443855
南京大学,江苏,教育部,综合,本科,118.961365,32.110012
苏州大学,江苏,江苏省教育厅,综合,本科,120.641182,31.302245
东南大学,江苏,教育部,综合,本科,120.376091,31.482067
南京航空航天大学,江苏,工业和信息化部,工科,本科,118.820289,32.035021
南京理工大学,江苏,工业和信息化部,工科,本科,118.857244,32.026884
江苏科技大学,江苏,江苏省教育厅,工科,本科,118.780018,32.049768
中国矿业大学,江苏,教育部,工科,本科,117.200020,34.221153
南京工业大学,江苏,江苏省教育厅,工科,本科,118.642381,32.077725
常州大学,江苏,江苏省教育厅,工科,本科,119.957948,31.683504
南京邮电大学,江苏,江苏省教育厅,综合,本科,118.814249,32.070478
河海大学,江苏,教育部,工科,本科,119.980309,31.818939
江南大学,江苏,教育部,综合,本科, , 
南京林业大学,江苏,江苏省教育厅,林业,本科,118.816826,32.078682
江苏大学,江苏,江苏省教育厅,综合,本科,118.704677,32.178798
南京信息工程大学,江苏,江苏省教育厅,工科,本科,118.715506,32.203356
江苏城市职业学院,江苏,江苏省教育厅,工科,高职(专科),118.823209,32.128625
南通大学,江苏,江苏省教育厅,综合,本科/高职(专科),120.906396,31.975851
盐城工学院,江苏,江苏省教育厅,工科,本科,120.176971,33.400136
南京农业大学,江苏,教育部,农业,本科,118.839686,32.033444
南京医科大学,江苏,江苏省教育厅,医药,本科,118.890830,31.938011
徐州医科大学,江苏,江苏省教育厅,医药,本科/高职(专科),117.255474,34.264709
南京中医药大学,江苏,江苏省教育厅,医药,本科/高职(专科),118.945416,32.101878
中国药科大学,江苏,教育部,医药,本科/高职(专科),118.914024,31.897751
南京师范大学,江苏,江苏省教育厅,师范,本科/高职(专科),118.912273,32.102630
江苏师范大学,江苏,江苏省教育厅,师范,本科,118.746157,32.019857
淮阴师范学院,江苏,江苏省教育厅,师范,本科,119.005457,33.641576
盐城师范学院,江苏,江苏省教育厅,师范,本科,120.157592,33.383776
南京财经大学,江苏,江苏省教育厅,财经,本科,118.761354,32.085109
江苏警官学院,江苏,江苏省教育厅,政法,本科/高职(专科),118.758882,31.993358
南京体育学院,江苏,江苏省教育厅,体育,本科/高职(专科),118.867050,32.044344
南京艺术学院,江苏,江苏省教育厅,艺术,本科,118.753434,32.062838
苏州科技大学,江苏,江苏省教育厅,工科,本科,120.557030,31.265566
常熟理工学院,江苏,江苏省教育厅,综合,本科,120.736697,31.608656
明达职业技术学院,江苏,江苏省教育厅,语言,高职(专科),120.337517,33.785889
无锡职业技术学院,江苏,江苏省教育厅,工科,高职(专科),120.269258,31.496461
江苏建筑职业技术学院,江苏,江苏省教育厅,工科,高职(专科), , 
南京工业职业技术学院,江苏,江苏省教育厅,工科,高职(专科),118.940552,32.121322
江苏工程职业技术学院,江苏,江苏省教育厅,工科,高职(专科),118.832402,32.017156
苏州工艺美术职业技术学院,江苏,江苏省教育厅,艺术,高职(专科),120.585941,31.230302
金陵科技学院,江苏,江苏省教育厅,综合,本科,118.811218,32.121738
淮阴工学院,江苏,江苏省教育厅,工科,本科,119.036003,33.552653
连云港职业技术学院,江苏,江苏省教育厅,工科,高职(专科),119.242737,34.663057
镇江市高等专科学校,江苏,江苏省教育厅,工科,高职(专科),119.476015,32.196432
南通职业大学,江苏,江苏省教育厅,工科,高职(专科),120.893727,32.008375
徐州工程学院,江苏,江苏省教育厅,工科,本科/高职(专科),117.207931,34.216056
苏州职业大学,江苏,江苏省教育厅,工科,高职(专科),120.597358,31.223389
常州工学院,江苏,江苏省教育厅,工科,本科,119.943923,31.870371
扬州大学,江苏,江苏省教育厅,综合,本科/高职(专科),119.421630,32.388299
三江学院,江苏,江苏省教育厅,综合,本科/高职(专科), , 
南京工程学院,江苏,江苏省教育厅,工科,本科,118.881403,31.925978
南京审计大学,江苏,江苏省教育厅,财经,本科,118.751979,32.039644
沙洲职业工学院,江苏,江苏省教育厅,工科,高职(专科),120.586510,31.904804
南京晓庄学院,江苏,江苏省教育厅,师范,本科,118.751550,32.037281
扬州市职业大学,江苏,江苏省教育厅,工科,高职(专科),119.380378,32.395730
江苏理工学院,江苏,江苏省教育厅,工科,本科, , 
南京森林警察学院,江苏,公安部,政法,本科/高职(专科),118.825305,32.083593
江苏海洋大学,江苏,江苏省教育厅,工科,本科, , 
连云港师范高等专科学校,江苏,江苏省教育厅,师范,高职(专科),119.227977,34.646652
泰州学院,江苏,江苏省教育厅,师范,高职(专科),119.938276,32.475661
江苏经贸职业技术学院,江苏,江苏省教育厅,财经,高职(专科),118.884906,31.931496
南京特殊教育师范学院,江苏,江苏省教育厅,师范,高职(专科),118.829971,32.127929
九州职业技术学院,江苏,江苏省教育厅,工科,高职(专科),117.161346,34.184204
南通理工学院,江苏,江苏省教育厅,工科,高职(专科),120.808779,32.043221
硅湖职业技术学院,江苏,江苏省教育厅,工科,高职(专科),121.139481,31.283648
泰州职业技术学院,江苏,江苏省教育厅,工科,高职(专科),119.940309,32.487535
常州信息职业技术学院,江苏,江苏省教育厅,工科,高职(专科),119.954478,31.678205
江苏海事职业技术学院,江苏,江苏省教育厅,工科,高职(专科),118.907599,31.918286
应天职业技术学院,江苏,江苏省教育厅,工科,高职(专科),118.916801,32.087803
无锡科技职业学院,江苏,江苏省教育厅,工科,高职(专科),120.389992,31.519877
江苏医药职业学院,江苏,江苏省教育厅,医药,高职(专科),118.763232,32.061707
扬州环境资源职业技术学院,江苏,江苏省教育厅,农业,高职(专科),119.393466,32.337750
南通科技职业学院,江苏,江苏省教育厅,农业,高职(专科),120.891910,32.004337
苏州经贸职业技术学院,江苏,江苏省教育厅,财经,高职(专科),120.566300,31.252666
苏州工业职业技术学院,江苏,江苏省教育厅,工科,高职(专科),120.589630,31.217165
苏州托普信息职业技术学院,江苏,江苏省教育厅,工科,高职(专科),120.845970,31.462479
苏州卫生职业技术学院,江苏,江苏省教育厅,医药,高职(专科),120.585120,31.260603
东南大学成贤学院,江苏,江苏省教育厅,综合,本科,118.704735,32.153465
无锡商业职业技术学院,江苏,江苏省教育厅,财经,高职(专科),120.173646,31.561108
南通航运职业技术学院,江苏,江苏省教育厅,工科,高职(专科),120.962968,31.916645
南京交通职业技术学院,江苏,江苏省教育厅,工科,高职(专科),118.912539,31.912155
淮安信息职业技术学院,江苏,江苏省教育厅,工科,高职(专科),119.046593,33.551597
江苏农牧科技职业学院,江苏,江苏省教育厅,农业,高职(专科), , 
常州纺织服装职业技术学院,江苏,江苏省教育厅,工科,高职(专科),119.940294,31.685827
苏州农业职业技术学院,江苏,江苏省教育厅,农业,高职(专科),120.581668,31.313968
苏州工业园区职业技术学院,江苏,江苏省教育厅,工科,高职(专科),120.589685,31.217083
太湖创意职业技术学院,江苏,江苏省教育厅,工科,高职(专科), , 
炎黄职业技术学院,江苏,江苏省教育厅,工科,高职(专科),119.253105,33.789360
南京科技职业学院,江苏,江苏省教育厅,工科,高职(专科),118.752553,32.235216
正德职业技术学院,江苏,江苏省教育厅,工科,高职(专科),118.784882,31.939199
钟山职业技术学院,江苏,江苏省教育厅,工科,高职(专科), , 
无锡南洋职业技术学院,江苏,江苏省教育厅,工科,高职(专科),120.245471,31.494601
江南影视艺术职业学院,江苏,江苏省教育厅,艺术,高职(专科), , 
金肯职业技术学院,江苏,江苏省教育厅,财经,高职(专科),118.879860,31.685005
常州工业职业技术学院,江苏,江苏省教育厅,工科,高职(专科),119.973987,31.810689
常州工程职业技术学院,江苏,江苏省教育厅,工科,高职(专科),119.946423,31.684264
江苏农林职业技术学院,江苏,江苏省教育厅,农业,高职(专科), , 
江苏食品药品职业技术学院,江苏,江苏省教育厅,工科,高职(专科), , 
建东职业技术学院,江苏,江苏省教育厅,工科,高职(专科),118.817528,32.035263
南京铁道职业技术学院,江苏,江苏省教育厅,工科,高职(专科),118.699193,32.101317
徐州工业职业技术学院,江苏,江苏省教育厅,工科,高职(专科),117.142589,34.299445
江苏信息职业技术学院,江苏,江苏省教育厅,工科,高职(专科),118.941716,32.128885
宿迁职业技术学院,江苏,江苏省教育厅,工科,高职(专科),118.289384,34.020362
南京信息职业技术学院,江苏,江苏省教育厅,工科,高职(专科),118.941716,32.128885
江海职业技术学院,江苏,江苏省教育厅,工科,高职(专科), , 
常州机电职业技术学院,江苏,江苏省教育厅,工科,高职(专科),119.947043,31.678288
江阴职业技术学院,江苏,江苏省教育厅,工科,高职(专科),120.245853,31.873360
无锡太湖学院,江苏,江苏省教育厅,综合,本科,120.225758,31.570275
中国矿业大学徐海学院,江苏,江苏省教育厅,工科,本科,117.198448,34.222073
南京大学金陵学院,江苏,江苏省教育厅,综合,本科,118.706076,32.176591
南京理工大学紫金学院,江苏,江苏省教育厅,工科,本科,118.934389,32.125994
南京航空航天大学金城学院,江苏,江苏省教育厅,工科,本科,118.884570,31.701303
中国传媒大学南广学院,江苏,江苏省教育厅,艺术,本科,118.889404,31.882385
无锡城市职业技术学院,江苏,江苏省教育厅,财经,高职(专科),120.184348,31.583868
无锡工艺职业技术学院,江苏,江苏省教育厅,工科,高职(专科),119.834027,31.339363
金山职业技术学院,江苏,江苏省教育厅,工科,高职(专科),121.306083,30.796547
苏州健雄职业技术学院,江苏,江苏省教育厅,工科,高职(专科),121.134763,31.412115
盐城工业职业技术学院,江苏,江苏省教育厅,工科,高职(专科),120.174851,33.321488
江苏财经职业技术学院,江苏,江苏省教育厅,财经,高职(专科), , 
扬州工业职业技术学院,江苏,江苏省教育厅,工科,高职(专科),119.398156,32.335660
南京理工大学泰州科技学院,江苏,江苏省教育厅,工科,本科,118.857244,32.026884
南京师范大学泰州学院,江苏,江苏省教育厅,师范,本科,118.912273,32.102630
南京工业大学浦江学院,江苏,江苏省教育厅,综合,本科,119.054221,32.018581
南京师范大学中北学院,江苏,江苏省教育厅,综合,本科,118.912784,32.101743
苏州百年职业学院,江苏,江苏省教育厅,综合,高职(专科),120.743095,31.274638
昆山登云科技职业学院,江苏,江苏省教育厅,工科,高职(专科),120.891942,31.390629
南京视觉艺术职业学院,江苏,江苏省教育厅,艺术,高职(专科),118.926741,31.747338
南京医科大学康达学院,江苏,江苏省教育厅,综合,本科,118.773583,32.042250
南京中医药大学翰林学院,江苏,江苏省教育厅,综合,本科,118.945416,32.101878
南京信息工程大学滨江学院,江苏,江苏省教育厅,综合,本科,118.708750,32.199370
苏州大学文正学院,江苏,江苏省教育厅,综合,本科,120.584687,31.217882
苏州大学应用技术学院,江苏,江苏省教育厅,综合,本科,120.843127,31.149010
苏州科技大学天平学院,江苏,江苏省教育厅,综合,本科,120.557089,31.265497
江苏大学京江学院,江苏,江苏省教育厅,综合,本科,118.704677,32.178798
扬州大学广陵学院,江苏,江苏省教育厅,综合,本科,119.423864,32.385920
江苏师范大学科文学院,江苏,江苏省教育厅,综合,本科,118.746157,32.019857
南京邮电大学通达学院,江苏,江苏省教育厅,综合,本科,118.933348,32.118351
南京财经大学红山学院,江苏,江苏省教育厅,综合,本科,118.761363,32.085232
江苏科技大学苏州理工学院,江苏,江苏省教育厅,综合,本科,120.571195,31.892313
常州大学怀德学院,江苏,江苏省教育厅,综合,本科,119.907488,31.780658
南通大学杏林学院,江苏,江苏省教育厅,综合,本科,120.904279,32.017137
南京审计大学金审学院,江苏,江苏省教育厅,综合,本科,118.917127,32.087258
南京机电职业技术学院,江苏,江苏省教育厅,工科,高职(专科),118.781169,32.100015
宿迁学院,江苏,江苏省教育厅,综合,本科,118.296653,33.929758
苏州高博软件技术职业学院,江苏,江苏省教育厅,工科,高职(专科),120.417883,31.320712
南京旅游职业学院,江苏,江苏省教育厅,财经,高职(专科),118.891427,31.928879
江苏卫生健康职业学院,江苏,江苏省教育厅,医药,高职(专科),118.610988,32.076083
苏州信息职业技术学院,江苏,江苏省教育厅,综合,高职(专科),120.633103,31.135585
宿迁泽达职业技术学院,江苏,江苏省教育厅,工科,高职(专科),118.283344,34.020722
苏州工业园区服务外包职业学院,江苏,江苏省教育厅,工科,高职(专科),120.750411,31.256757
徐州幼儿师范高等专科学校,江苏,江苏省教育厅,师范,高职(专科),117.247450,34.292409
徐州生物工程职业技术学院,江苏,江苏省教育厅,工科,高职(专科),117.131971,34.261766
南京城市职业学院,江苏,江苏省教育厅,综合,高职(专科),118.823209,32.128625
江苏第二师范学院,江苏,江苏省教育厅,师范,本科/高职(专科),118.754674,32.058518
江苏商贸职业学院,江苏,江苏省教育厅,综合,高职(专科), , 
南通师范高等专科学校,江苏,江苏省教育厅,师范,高职(专科),120.873821,32.004854
扬州中瑞酒店职业学院,江苏,江苏省教育厅,财经,高职(专科),119.355406,32.369271
江苏护理职业学院,江苏,江苏省教育厅,医药,高职(专科),118.763232,32.061707
江苏财会职业学院,江苏,江苏省教育厅,财经,高职(专科),118.763232,32.061707
江苏城乡建设职业学院,江苏,江苏省教育厅,工科,高职(专科),118.763232,32.061707
江苏航空职业技术学院,江苏,江苏省教育厅,工科,高职(专科),118.763232,32.061707
江苏安全技术职业学院,江苏,江苏省教育厅,工科,高职(专科),118.763232,32.061707
江苏旅游职业学院,江苏,江苏省教育厅,综合,高职(专科),118.891427,31.928879
盐城幼儿师范高等专科学校,江苏,江苏省教育厅,师范,高职(专科),120.177132,33.307459
苏州幼儿师范高等专科学校,江苏,江苏省教育厅,师范,高职(专科),120.669698,31.381589
西交利物浦大学,江苏,江苏省教育厅,工科,本科,120.738777,31.273245
昆山杜克大学,江苏,江苏省教育厅,综合,本科,120.897104,31.415386
中国人民大学(苏州校区),江苏,教育部,综合,本科,120.733125,31.276664
江苏省青年管理干部学院,江苏,江苏省教育厅,工科,高职(专科),118.817344,32.047466
陆军工程大学,江苏,中央军委训练管理部,综合,本科,115.637337,23.068914
浙江大学,浙江,教育部,综合,本科,120.164517,30.292956
杭州电子科技大学,浙江,浙江省教育厅,工科,本科,120.343200,30.314207
浙江工业大学,浙江,浙江省教育厅,工科,本科,120.164168,30.290749
浙江理工大学,浙江,浙江省教育厅,工科,本科,120.353460,30.313541
浙江海洋大学,浙江,浙江省教育厅,农业,本科/高职(专科), , 
浙江农林大学,浙江,浙江省教育厅,林业,本科,119.729509,30.233838
温州医科大学,浙江,浙江省教育厅,医药,本科/高职(专科),120.709642,27.920881
浙江中医药大学,浙江,浙江省教育厅,医药,本科,120.148652,30.175077
浙江师范大学,浙江,浙江省教育厅,师范,本科/高职(专科),120.139284,30.282408
杭州师范大学,浙江,浙江省教育厅,师范,本科,120.394204,30.315728
湖州师范学院,浙江,浙江省教育厅,师范,本科/高职(专科),120.134117,30.874626
绍兴文理学院,浙江,浙江省教育厅,师范,本科/高职(专科),120.571268,29.981140
台州学院,浙江,浙江省教育厅,综合,本科/高职(专科),121.388423,28.650662
温州大学,浙江,浙江省教育厅,工科,本科,120.695224,27.917666
丽水学院,浙江,浙江省教育厅,师范,本科/高职(专科),119.903648,28.456803
浙江工商大学,浙江,浙江省教育厅,财经,本科,120.136420,30.284551
嘉兴学院,浙江,浙江省教育厅,财经,本科/高职(专科),120.720484,30.736445
中国美术学院,浙江,浙江省教育厅,艺术,本科/高职(专科),117.181885,31.831751
中国计量大学,浙江,浙江省教育厅,工科,本科,120.363907,30.318892
公安海警学院,浙江,公安部,政法,本科/高职(专科), , 
宁波职业技术学院,浙江,浙江省教育厅,综合,高职(专科),121.821980,29.891968
温州职业技术学院,浙江,浙江省教育厅,综合,高职(专科),120.699521,27.922661
浙江万里学院,浙江,浙江省教育厅,工科,本科, , 
浙江科技学院,浙江,浙江省教育厅,工科,本科,120.024421,30.218984
宁波工程学院,浙江,浙江省教育厅,工科,本科,121.613244,29.909587
浙江水利水电学院,浙江,浙江省教育厅,工科,本科,120.374055,30.314254
浙江财经大学,浙江,浙江省教育厅,财经,本科,120.395270,30.320835
浙江警察学院,浙江,浙江省教育厅,政法,本科,119.734534,30.277839
衢州学院,浙江,浙江省教育厅,工科,本科/高职(专科),118.868376,28.981067
宁波大学,浙江,浙江省教育厅,综合,本科/高职(专科),121.635098,29.911925
浙江传媒学院,浙江,浙江省教育厅,语言,本科/高职(专科),120.343578,30.320705
浙江树人学院,浙江,浙江省教育厅,工科,本科/高职(专科),120.158426,30.318436
浙江医药高等专科学校,浙江,浙江省教育厅,医药,高职(专科),120.160613,30.172158
浙江交通职业技术学院,浙江,浙江省教育厅,工科,高职(专科),120.087930,30.343687
金华职业技术学院,浙江,浙江省教育厅,综合,高职(专科),119.636423,29.062591
宁波城市职业技术学院,浙江,浙江省教育厅,综合,高职(专科),121.573081,29.807537
浙江电力职业技术学院,浙江,浙江省教育厅,综合,高职(专科),120.151376,30.321252
浙江同济科技职业学院,浙江,浙江省教育厅,工科,高职(专科),120.309609,30.244514
浙江工商职业技术学院,浙江,浙江省教育厅,财经,高职(专科),120.163720,30.175140
台州职业技术学院,浙江,浙江省教育厅,工科,高职(专科),121.399144,28.652140
浙江工贸职业技术学院,浙江,浙江省教育厅,综合,高职(专科), , 
浙江越秀外国语学院,浙江,浙江省教育厅,语言,本科/高职(专科), , 
浙江机电职业技术学院,浙江,浙江省教育厅,工科,高职(专科),120.152670,30.175650
浙江建设职业技术学院,浙江,浙江省教育厅,工科,高职(专科),120.297867,30.246872
浙江艺术职业学院,浙江,浙江省教育厅,艺术,高职(专科),120.156695,30.174450
浙江经贸职业技术学院,浙江,浙江省教育厅,财经,高职(专科),120.382773,30.316655
浙江商业职业技术学院,浙江,浙江省教育厅,财经,高职(专科),120.163720,30.175140
浙江经济职业技术学院,浙江,浙江省教育厅,财经,高职(专科),120.379028,30.308939
浙江旅游职业学院,浙江,浙江省教育厅,财经,高职(专科),120.303825,30.245401
浙江育英职业技术学院,浙江,浙江省教育厅,财经,高职(专科),120.351229,30.304760
浙江警官职业学院,浙江,浙江省教育厅,政法,高职(专科),120.358675,30.315005
浙江金融职业学院,浙江,浙江省教育厅,财经,高职(专科),120.382731,30.320783
浙江工业职业技术学院,浙江,浙江省教育厅,综合,高职(专科),120.252971,30.155814
杭州职业技术学院,浙江,浙江省教育厅,综合,高职(专科),120.353213,30.320834
嘉兴职业技术学院,浙江,浙江省教育厅,综合,高职(专科),120.711070,30.742760
湖州职业技术学院,浙江,浙江省教育厅,综合,高职(专科),120.131909,30.877592
绍兴职业技术学院,浙江,浙江省教育厅,工科,高职(专科),120.559958,29.981887
衢州职业技术学院,浙江,浙江省教育厅,工科,高职(专科),118.866033,28.977390
丽水职业技术学院,浙江,浙江省教育厅,综合,高职(专科),119.907544,28.474314
宁波财经学院,浙江,浙江省教育厅,工科,本科/高职(专科),121.481430,29.886730
浙江东方职业技术学院,浙江,浙江省教育厅,综合,高职(专科), , 
义乌工商职业技术学院,浙江,浙江省教育厅,综合,高职(专科),120.098716,29.297709
浙江大学城市学院,浙江,浙江省教育厅,工科,本科,120.156311,30.325636
浙江大学宁波理工学院,浙江,浙江省教育厅,工科,本科,121.574466,29.814989
杭州医学院,浙江,浙江省教育厅,医药,本科/高职(专科),120.158787,30.172786
浙江纺织服装职业技术学院,浙江,浙江省教育厅,工科,高职(专科), , 
杭州科技职业技术学院,浙江,浙江省教育厅,工科,高职(专科),119.899067,30.086875
浙江长征职业技术学院,浙江,浙江省教育厅,综合,高职(专科),120.019595,30.207926
嘉兴南洋职业技术学院,浙江,浙江省教育厅,工科,高职(专科),120.704694,30.787315
浙江广厦建设职业技术学院,浙江,浙江省教育厅,工科,高职(专科), , 
杭州万向职业技术学院,浙江,浙江省教育厅,综合,高职(专科),120.073946,30.253491
浙江工业大学之江学院,浙江,浙江省教育厅,工科,本科,120.079553,30.167695
浙江师范大学行知学院,浙江,浙江省教育厅,综合,本科,120.139284,30.282408
宁波大学科学技术学院,浙江,浙江省教育厅,综合,本科,121.630965,29.914650
杭州电子科技大学信息工程学院,浙江,浙江省教育厅,工科,本科,119.822894,30.290687
浙江理工大学科技与艺术学院,浙江,浙江省教育厅,工科,本科,120.023388,30.283602
浙江海洋大学东海科学技术学院,浙江,浙江省教育厅,农业,本科,120.142604,30.279731
浙江农林大学暨阳学院,浙江,浙江省教育厅,林业,本科,119.729509,30.233838
温州医科大学仁济学院,浙江,浙江省教育厅,医药,本科,120.710226,27.919849
浙江中医药大学滨江学院,浙江,浙江省教育厅,医药,本科,120.147944,30.175256
杭州师范大学钱江学院,浙江,浙江省教育厅,师范,本科,120.391327,30.316359
湖州师范学院求真学院,浙江,浙江省教育厅,师范,本科,120.131823,30.874129
绍兴文理学院元培学院,浙江,浙江省教育厅,师范,本科,120.540562,30.069518
温州大学瓯江学院,浙江,浙江省教育厅,师范,本科,120.710090,27.930238
浙江工商大学杭州商学院,浙江,浙江省教育厅,财经,本科,119.744356,29.827681
嘉兴学院南湖学院,浙江,浙江省教育厅,财经,本科,120.729265,30.743111
中国计量大学现代科技学院,浙江,浙江省教育厅,工科,本科,120.363907,30.318892
浙江财经大学东方学院,浙江,浙江省教育厅,财经,本科,120.113306,30.284894
温州商学院,浙江,浙江省教育厅,综合,本科/高职(专科),120.692047,27.918283
浙江邮电职业技术学院,浙江,浙江省教育厅,工科,高职(专科),120.151005,30.282022
宁波卫生职业技术学院,浙江,浙江省教育厅,医药,高职(专科),121.567994,29.806391
台州科技职业学院,浙江,浙江省教育厅,综合,高职(专科),121.260888,28.665974
浙江国际海运职业技术学院,浙江,浙江省教育厅,综合,高职(专科), , 
浙江体育职业技术学院,浙江,浙江省教育厅,体育,高职(专科),120.294010,30.253936
温州科技职业学院,浙江,浙江省教育厅,综合,高职(专科),120.632038,27.983269
浙江汽车职业技术学院,浙江,浙江省教育厅,工科,高职(专科), , 
浙江横店影视职业学院,浙江,浙江省教育厅,艺术,高职(专科), , 
同济大学浙江学院,浙江,浙江省教育厅,综合,本科, , 
上海财经大学浙江学院,浙江,浙江省教育厅,财经,本科,121.500850,31.306472
浙江农业商贸职业学院,浙江,浙江省教育厅,财经,高职(专科), , 
浙江外国语学院,浙江,浙江省教育厅,语言,本科/高职(专科),120.036972,30.221294
浙江特殊教育职业学院,浙江,浙江省教育厅,师范,高职(专科),120.014617,30.204623
浙江安防职业技术学院,浙江,浙江省教育厅,政法,高职(专科),120.152791,30.267446
浙江音乐学院,浙江,浙江省教育厅,艺术,本科,120.056346,30.154169
宁波诺丁汉大学,浙江,浙江省教育厅,综合,本科,121.563510,29.800020
温州肯恩大学,浙江,浙江省教育厅,综合,本科,120.652823,27.917383
浙江舟山群岛新区旅游与健康职业学院,浙江,浙江省教育厅,综合,高职(专科),121.913453,29.997584
浙江大学医学院,浙江,教育部,医药,本科,120.083837,30.296826
宁波幼儿师范高等专科学校,浙江,浙江省教育厅,师范,高职(专科),121.550357,29.874556
安徽大学,安徽,安徽省教育厅,综合,本科/高职(专科),117.255736,31.844926
中国科学技术大学,安徽,中国科学院,工科,本科,116.757576,39.588718
合肥工业大学,安徽,教育部,工科,本科,117.293767,31.846725
安徽工业大学,安徽,安徽省教育厅,工科,本科,117.297758,31.844644
安徽理工大学,安徽,安徽省教育厅,工科,本科, , 
安徽工程大学,安徽,安徽省教育厅,工科,本科, , 
安徽农业大学,安徽,安徽省教育厅,农业,本科/高职(专科),117.256914,31.861863
安徽医科大学,安徽,安徽省教育厅,医药,本科,117.262796,31.849347
蚌埠医学院,安徽,安徽省教育厅,医药,本科,117.433125,32.908000
皖南医学院,安徽,安徽省教育厅,医药,本科/高职(专科),118.374168,31.367083
安徽中医药大学,安徽,安徽省教育厅,医药,本科/高职(专科),117.260828,31.851792
安徽师范大学,安徽,安徽省教育厅,师范,本科,117.258058,31.863542
阜阳师范学院,安徽,安徽省教育厅,师范,本科,115.804738,32.893258
安庆师范大学,安徽,安徽省教育厅,师范,本科,117.049048,30.514564
淮北师范大学,安徽,安徽省教育厅,师范,本科,116.811015,33.983799
黄山学院,安徽,安徽省教育厅,师范,本科/高职(专科),118.291980,29.714090
皖西学院,安徽,安徽省教育厅,师范,本科/高职(专科),116.525078,31.765627
滁州学院,安徽,安徽省教育厅,师范,本科/高职(专科),118.302516,32.291814
安徽财经大学,安徽,安徽省教育厅,财经,本科, , 
宿州学院,安徽,安徽省教育厅,师范,本科/高职(专科),117.077336,33.633055
巢湖学院,安徽,安徽省教育厅,师范,本科,117.927780,31.648620
淮南师范学院,安徽,安徽省教育厅,师范,本科/高职(专科),116.960820,32.613196
铜陵学院,安徽,安徽省教育厅,财经,本科,117.827951,30.933505
安徽职业技术学院,安徽,安徽省教育厅,工科,高职(专科),117.385067,31.930366
安徽建筑大学,安徽,安徽省教育厅,工科,本科,117.228090,31.744560
安徽科技学院,安徽,安徽省教育厅,师范,本科,117.251656,31.877741
安徽三联学院,安徽,安徽省教育厅,工科,本科/高职(专科),117.199211,31.753038
淮北职业技术学院,安徽,安徽省教育厅,工科,高职(专科),116.895687,33.912849
合肥学院,安徽,安徽省教育厅,工科,本科/高职(专科),117.255203,31.752979
芜湖职业技术学院,安徽,安徽省教育厅,工科,高职(专科),118.369299,31.278035
蚌埠学院,安徽,安徽省教育厅,工科,本科/高职(专科),117.423095,32.889859
池州学院,安徽,安徽省教育厅,师范,本科/高职(专科),117.567732,30.643318
淮南联合大学,安徽,安徽省教育厅,综合,高职(专科),116.949927,32.614101
安徽医学高等专科学校,安徽,安徽省教育厅,医药,高职(专科),117.226558,31.787193
安徽中医药高等专科学校,安徽,安徽省教育厅,医药,高职(专科), , 
安徽商贸职业技术学院,安徽,安徽省教育厅,财经,高职(专科), , 
安徽水利水电职业技术学院,安徽,安徽省教育厅,工科,高职(专科),117.426688,31.825298
